"";"Drzava";"Povrsina.gozda"
"1";"Sweden";280730
"2";"Finland";222180
"3";"Spain";184178,7
"4";"France";169890
"5";"Norway";121120
"6";"Germany";114190
"7";"Turkey";119429,6
"8";"Poland";94350
"9";"Italy";99270
"10";"Romania";68610
"11";"Greece";39030
"12";"Austria";38690
"13";"Bulgaria";38230
"14";"Latvia";33560
"15";"Portugal";31821
"16";"United Kingdom";31440
"17";"Serbia";27200
"18";"Czech Republic";26674,1
"19";"Estonia";22319,5
"20";"Lithuania";21800
"21";"Bosnia and Herzegovina";21150
"22";"Hungary";20691,3
"23";"Slovakia";19400
"24";"Croatia";19220
"25";"Slovenia";12480
"26";"Switzerland";12540
"27";"Macedonia";9875,4
"28";"Montenegro";8267,8
"29";"Ireland";7540,2
"30";"Belgium";6834
"31";"Denmark";6122,3
"32";"Netherlands";3760
"33";"Cyprus";1727
"34";"Luxembourg";867,5
"35";"Iceland";427,5
"36";"Liechtenstein";62
"37";"Malta";3,5
